Начало игровой сессии
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:29:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:12 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:12 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:12 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:12 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:13 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:13 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:14 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:14 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:15 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:15 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:15 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:15 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:15 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:15 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:15 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:15 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:16 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:16 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:16 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:16 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:16 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:16 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:16 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:16 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:58 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:59 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:59 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:29:59 - Список очищен, tag: Enemy1, Точек в списке: 0
02:29:59 - Список очищен, tag: Enemy2, Точек в списке: 0
02:29:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:59 - Список очищен, tag: Enemy3, Точек в списке: 0
02:29:59 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:00 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:00 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:00 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:00 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:00 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:00 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:00 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:00 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:01 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:01 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:01 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:01 - Список очищен, tag: Enemy1, Точек в списке: 0
